county,obs_year,county_name,station_count,coldest_day,coldest_dayofyear,hottest_day,hottest_dayofyear,last_freeze_date,last_freeze_dayofyear,first_freeze_date,first_freeze_dayofyear,observations_recorded_april_to_may
27139,2020,Scott County,1,-18.0,45.0,95.0,161.0,2020-05-13,134.0,2020-10-04,278.0,91.0
27139,2022,Scott County,1,-21.0,27.0,92.0,133.0,2022-04-28,118.0,,,46.0
27163,2002,Washington County,2,-2.0,62.0,97.0,182.0,2002-05-03,123.0,2002-10-07,280.0,91.0
27163,2021,Washington County,2,-26.0,46.0,95.0,157.0,2021-05-11,131.0,2021-10-22,295.0,89.0
27163,2003,Washington County,2,-16.0,38.0,99.0,237.0,2003-04-09,99.0,2003-10-02,275.0,90.0
27163,2004,Washington County,2,-22.0,30.0,97.0,204.0,2004-04-27,118.0,2004-10-05,279.0,90.0
27163,2005,Washington County,2,-17.0,17.0,96.0,197.0,2005-05-04,124.0,2005-10-22,295.0,91.0
27163,2006,Washington County,2,-2.0,342.0,95.0,210.0,2006-01-31,31.0,2006-10-12,285.0,
27163,2019,Washington County,2,-34.0,32.0,90.0,201.0,2019-05-03,123.0,2019-10-13,286.0,91.0
27163,2017,Washington County,2,-18.0,365.0,91.0,162.0,2017-04-22,112.0,2017-10-10,283.0,89.0
27163,2007,Washington County,2,-19.0,37.0,93.0,223.0,2007-04-16,106.0,2007-10-25,298.0,85.0
27163,2008,Washington County,2,-17.0,52.0,88.0,235.0,2008-04-15,106.0,2008-10-21,295.0,80.0
27163,2009,Washington County,2,-30.0,17.0,92.0,175.0,2009-04-16,106.0,2009-10-10,283.0,91.0
27163,2010,Washington County,2,-20.0,4.0,92.0,145.0,2010-05-09,129.0,2010-10-22,295.0,91.0
27163,2011,Washington County,2,-28.0,22.0,99.0,159.0,2011-05-04,124.0,2011-10-21,294.0,89.0
27163,2012,Washington County,2,-13.0,20.0,97.0,189.0,2012-04-17,108.0,2012-10-07,281.0,91.0
27163,2013,Washington County,2,-19.0,364.0,94.0,135.0,2013-05-04,124.0,2013-10-20,293.0,91.0
27163,2014,Washington County,2,-24.0,6.0,86.0,203.0,2014-04-19,109.0,2014-10-09,282.0,91.0
27163,2015,Washington County,2,-22.0,13.0,90.0,227.0,2015-04-23,113.0,2015-10-17,290.0,91.0
27163,2016,Washington County,2,-21.0,354.0,91.0,205.0,2016-05-15,136.0,2016-10-13,287.0,91.0
27163,2018,Washington County,2,-19.0,6.0,97.0,149.0,2018-04-25,115.0,2018-10-12,285.0,91.0
27163,2020,Washington County,2,-17.0,45.0,93.0,161.0,2020-05-12,133.0,2020-10-04,278.0,82.0
27163,2022,Washington County,2,-24.0,7.0,91.0,133.0,2022-04-30,120.0,,,46.0
